Website,Webpage URL,Total Size (KB),CO2e (grams),Rating,HTML (KB),HTML (%),Stylesheets (KB),Stylesheets (%),Scripts (KB),Scripts (%),Images (KB),Images (%),Other (KB),Other (%)
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/,138.15,0.036,A+,20.63,14.9,0,0,0,0,129.57,93.8,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/climate/climate.html,11.51,0.003,A+,3.75,32.6,0,0,0,0,8.04,69.9,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/part/infopart.html,12.76,0.003,A+,4.86,38.1,0,0,0,0,8.3,65,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/info/info.html,11.72,0.003,A+,4,34.1,0,0,0,0,8.03,68.5,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/natcom/natcom.htm,11.76,0.003,A+,3.49,29.7,0,0,0,0,8.59,73,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/daily/dailypr.html,13.18,0.003,A+,5.41,41.1,0,0,0,0,8.21,62.3,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/special/specialev.html,64.23,0.017,A+,61.33,95.5,0,0,0,0,8.09,12.6,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/exhibits/exhibits.html,32.83,0.008,A+,27.35,83.3,0,0,0,0,7.75,23.6,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/listpart/particip.html,11.79,0.003,A+,3.83,32.5,0,0,0,0,8.28,70.2,0,0
COP3,https://web.archive.org/web/20030604214733if_/unfccc.int/cop3/fccc/live/live.html,23.13,0.006,A+,5.6,24.2,0,0,0,0,18.89,81.7,0,0
COP3 Averages,,33.11,0.009,A+,14.03,39.6,0,0,0,0,21.38,60.4,0,0
,,,,,,,,,,,,,,
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/,54.07,0.014,A+,21.9,40.5,0.11,0.2,0,0,35.53,65.7,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/conv/conv.html,14,0.004,A+,9.84,70.3,0.11,0.8,0,0,3.79,27.1,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/kp/kp.html,15.5,0.004,A+,11.28,72.8,0.11,0.7,0,0,3.99,25.7,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/infopart/infopart.html,14.33,0.004,A+,9.87,68.9,0.11,0.8,0,0,4.12,28.7,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/infomed/infomed.html,20.52,0.005,A+,16.94,82.6,0.11,0.5,0,0,3.82,18.6,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/daily/daily.html,17.98,0.005,A+,14.03,78,0.11,0.6,0,0,3.95,22,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/special/special.html,13.9,0.004,A+,9.74,70.1,0.11,0.8,0,0,3.78,27.2,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/exhibits/exhibits.html,48.44,0.012,A+,47.84,98.8,0.11,0.2,0,0,3.43,7.1,0,0
COP4,https://web.archive.org/web/20031001073646if_/unfccc.int/cop4/resource/docs.html,21.2,0.005,A+,17.39,82,0.11,0.5,0,0,4.11,19.4,0,0
